signer,trade_count
7dGrdJRYtsNR8UYxZ3TnifXGjGc9eRYLq9sELwYpuuUu,1229
7rtiKSUDLBm59b1SBmD9oajcP8xE64vAGSMbAN5CXy1q,1161
JD38n7ynKYcgPpF7k1BhXEeREu1KqptU93fVGy3S624k,1140
7rhxnLV8C77o6d8oz26AgK8x8m5ePsdeRawjqvojbjnQ,1027
2fWyMU2S5ZJMwq9Ay2bwvnfRfiugkJbjWZ8WqKMtD8my,967
JD25qVdtd65FoiXNmR89JjmoJdYk9sjYQeSTZAALFiMy,883
GCvHhEUYQwTJ8jyf8Lc4bv8jBXyZU4LMMsZCobwEPzvM,549
NHtdVXcUuzULRJ3GkupLnZcxmUZ4rTP1u9kVkRzcash,511
HjiNTb9SJzVi9fc3ekr5PUMd3fCkFwEwAde52vDQD3hs,347
j1oAbxxiDUWvoHxEDhWE7THLjEkDQW2cSHYn2vttxTF,191
j1opmdubY84LUeidrPCsSGskTCYmeJVzds1UWm6nngb,184
HvFdDWS3RqymRAVx1ZdoL2RjiC38r5dtt19Z8op5jqDK,171
5YET3YapxD6to6rqPqTWB3R9pSbURy6yduuUtoZkzoPX,160
ZG98FUCjb8mJ824Gbs6RsgVmr1FhXb2oNiJHa2dwmPd,132
FT62s8v3phwAmhEP2FWvqy2UW1RngeAkh59yZfL3xjkD,96
YpnnUu1ZPHpAzy4xggEd5pBTbu1aDayXuARsYsavNs9,89
j1oeQoPeuEDmjvyMwBmCWexzCQup77kbKKxV59CnYbd,87
BTf4A2exGK9BCVDNzy65b9dUzXgMqB4weVkvTMFQsadd,79
bobCPc5nqVoX7r8gKzCMPLrKjFidjnSCrAdcYGCH2Ye,69
nya666pQkP3PzWxi7JngU3rRMHuc7zbLK8c8wxQ4qpT,56
55NQkFDwwW8noThkL9Rd5ngbgUU36fYZeos1k5ZwjGdn,55
9PHm2cYU8DhwBrbRsqqAjhW9uXVrNR1RaLsvo9oGVeaq,53
JDd3hy3gQn2V982mi1zqhNqUw1GfV2UL6g76STojCJPN,47
6jvYtr9G5WQnKs3cFsFtKmEfkbEnUXFhBKsmZad26QPV,45
5Dr7kc6U9hrwv1PQz67nyvhUpvXdQibt6L8RHwUrt2L4,37
3LkGTjNsF2zWc2ddBPHYyEJJZKqbdHJDgfjztxnjwL5R,36
AWPmgAr6xDJUhCa2Wxna5gd14UT98hicTXdow9XkYnNX,35
v2yNhm4KkC87MdBkvvYiMVP7UdSyNYLrfXrFte8A5a7,35
8NgW4LgwnTL3mHZknDF9aP9mxApsP8WK566v4Cg9Xi3t,34
86AEJExyjeNNgcp7GrAvCXTDicf5aGWgoERbXFiG1EdD,31
2Rf9qzW9rhCnJmEbErrHDDZfeEXtemYdLkyJ1TE12pa7,30
CyWkreAujSVwRagThE4hUPAYYwyZExJ4T3nsxEym5WUZ,30
ELmnTc6rb3uVhcfnr9ispNbRAzur6Bj2rL23gYRjnyqr,28
BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd,28
6B6idUnhH5GpaNahVVLHgwacqr5uHVPobZpfDFBXV3qr,25
A1GC8eqyezWb5gbgaLxzg93LgP84SXhLZymmv7g4t87a,24
qNGhUruCGJpXJdsnV74USHErcbm3CrXRsnP8D6Z34Hh,23
86v5Q9268B6RNy3SmTmVH5VcHGXQMW2RCRGJLgBx4C1i,20
GEe8eQ1cBH8cXX2Nba4xFhKMpH9KxSre3c3uMVD5yXRJ,19
MgdgECXoT498458YjwhyxJB83y4Uu78yCTjsygouxBa,17
Ge8xkdPrPU2tP22nKWBHocCZ6ezfHTLGHZzLsPmEtozH,17
4632BMWY69AkVHxN1XLKVuLrednYiLccuMeoXnQBMA7Z,16
CWaTfG6yzJPQRY5P53nQYHdHLjCJGxpC7EWo5wzGqs3n,16
F7RV6aBWfniixoFkQNWmRwznDj2vae2XbusFfvMMjtbE,16
2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9,15
